Dataset,Model,Imbalance Technique,F1-Score (avg),F1-Score (std),F1-Score (avg:std),Recall (avg),Recall (std),Recall (avg:std),Accuracy (avg),Accuracy (std),Accuracy (avg:std),Macro F1 (avg),Macro F1 (std),Macro F1 (avg:std),Weighted F1 (avg),Weighted F1 (std),Weighted F1 (avg:std)
3s_0.5,Random Forest,TomekLinks,0.7155,0.0338,21.16971,0.72513,0.09399,7.71505,0.76259,0.024,31.7692,0.75526,0.0243,31.07685,0.76292,0.02712,28.13002
3s_no,Random Forest,SMOTETomek,0.71478,0.09432,7.5782,0.72578,0.1118,6.49168,0.76574,0.05282,14.49595,0.75656,0.06303,12.00413,0.76608,0.0534,14.34665
4s_0.8,Random Forest,SMOTETomek,0.71401,0.05016,14.23479,0.69205,0.07639,9.05918,0.76498,0.03806,20.09944,0.75596,0.03821,19.78475,0.76406,0.03991,19.14501
5s_0.8,XGBoost,Baseline (none),0.71314,0.06501,10.96933,0.70971,0.11846,5.991,0.75653,0.05195,14.56278,0.75037,0.0536,14.0002,0.75615,0.05465,13.83713
4s_0.8,XGBoost,SMOTE,0.71274,0.05193,13.72383,0.71445,0.1117,6.39601,0.7575,0.03815,19.85369,0.75114,0.04036,18.61248,0.75731,0.03951,19.16843
2s_0.5,XGBoost,SMOTE,0.71187,0.069,10.31685,0.71283,0.09527,7.48182,0.76996,0.04465,17.24361,0.75928,0.04953,15.32983,0.77028,0.04528,17.0122
4s_0.8,XGBoost,Baseline (none),0.71183,0.04838,14.7144,0.70347,0.10294,6.83347,0.75927,0.03871,19.61309,0.75219,0.03984,18.88146,0.75877,0.04012,18.91121
3s_0.5,Random Forest,SMOTE,0.71015,0.04122,17.23035,0.70635,0.08093,8.72749,0.76202,0.03115,24.46189,0.75336,0.03146,23.94415,0.76195,0.03344,22.7874
5s_no,Random Forest,TomekLinks,0.71008,0.0902,7.87244,0.75395,0.14789,5.09797,0.74722,0.07563,9.88016,0.74226,0.07751,9.5765,0.74674,0.07686,9.71516
4s_0.8,XGBoost,TomekLinks,0.70946,0.04838,14.66327,0.70751,0.12699,5.57123,0.75695,0.03421,22.1278,0.74974,0.03629,20.65983,0.75595,0.03755,20.12994
5s_no,XGBoost,TomekLinks,0.70743,0.09885,7.15634,0.72745,0.16125,4.51131,0.75573,0.0717,10.53976,0.7485,0.07694,9.72804,0.75414,0.07632,9.88175
5s_0.5,XGBoost,Baseline (none),0.70655,0.0957,7.38265,0.69705,0.11905,5.85519,0.76561,0.06056,12.64315,0.75492,0.06809,11.08727,0.76435,0.06344,12.04872
2s_no,XGBoost,TomekLinks,0.70653,0.10252,6.89183,0.71398,0.15884,4.49502,0.76753,0.06948,11.04617,0.75643,0.07672,9.85904,0.766,0.07403,10.34651
3s_0.8,XGBoost,SMOTETomek,0.7059,0.0413,17.09162,0.6889,0.09309,7.40008,0.76167,0.03825,19.91154,0.75228,0.03757,20.02311,0.76072,0.04003,19.00411
2s_no,XGBoost,SMOTETomek,0.70472,0.08989,7.83984,0.70507,0.13755,5.12579,0.76752,0.05691,13.48769,0.75548,0.06424,11.75983,0.76579,0.06205,12.34167
5s_0.8,Random Forest,TomekLinks,0.70447,0.05408,13.02549,0.69882,0.11616,6.01627,0.75049,0.04058,18.49267,0.74355,0.04191,17.74172,0.74969,0.04455,16.82726
5s_0.8,Random Forest,SMOTETomek,0.70411,0.05678,12.40169,0.68923,0.10224,6.74149,0.7528,0.04155,18.11769,0.74482,0.04318,17.24963,0.75172,0.0456,16.48359
5s_0.5,Random Forest,TomekLinks,0.70373,0.06929,10.15586,0.7243,0.13211,5.48252,0.75286,0.03205,23.4919,0.74352,0.04006,18.56142,0.75177,0.03258,23.07513
3s_0.8,XGBoost,TomekLinks,0.70316,0.06204,11.33373,0.69274,0.13263,5.22299,0.76003,0.05022,15.13516,0.75046,0.05146,14.58429,0.75819,0.05478,13.84008
5s_no,XGBoost,Baseline (none),0.70315,0.09042,7.77612,0.70431,0.13837,5.09007,0.75573,0.06969,10.84353,0.74774,0.07339,10.18793,0.75424,0.07315,10.31102
5s_no,Random Forest,SMOTETomek,0.7027,0.08188,8.58154,0.73887,0.13715,5.38745,0.74422,0.06151,12.09957,0.73841,0.06492,11.37384,0.74354,0.0644,11.54522
2s_0.5,XGBoost,Baseline (none),0.70206,0.06574,10.67875,0.68321,0.09283,7.35971,0.76786,0.04696,16.35145,0.75525,0.05025,15.02958,0.7668,0.04894,15.66886
1s_no,XGBoost,TomekLinks,0.70014,0.03874,18.07095,0.71877,0.07353,9.77562,0.75532,0.02416,31.26082,0.7459,0.02578,28.93604,0.75657,0.02624,28.8321
4s_0.8,Random Forest,TomekLinks,0.69943,0.03897,17.94834,0.68509,0.09019,7.59579,0.75059,0.03142,23.88697,0.74247,0.03112,23.85681,0.74971,0.03472,21.59244
3s_0.8,XGBoost,Baseline (none),0.69919,0.05748,12.16382,0.66592,0.09044,7.36335,0.76268,0.04604,16.56524,0.7508,0.04695,15.99206,0.76056,0.04753,16.00298
5s_0.8,Random Forest,SMOTE,0.69693,0.04254,16.38464,0.68038,0.0911,7.46887,0.74584,0.03692,20.20418,0.73813,0.03632,20.32526,0.74512,0.03945,18.88608
3s_0.8,XGBoost,SMOTE,0.69689,0.04794,14.53542,0.69108,0.08538,8.09425,0.75063,0.0393,19.10039,0.74197,0.04002,18.54091,0.75057,0.04079,18.40273
