Dataset,Model,Accuracy (avg),Accuracy (std),Accuracy (avg:std),Macro F1 (avg),Macro F1 (std),Macro F1 (avg:std),Macro Precision (avg),Macro Precision (std),Macro Precision (avg:std),Macro Recall (avg),Macro Recall (std),Macro Recall (avg:std),Weighted F1 (avg),Weighted F1 (std),Weighted F1 (avg:std),Weighted Precision (avg),Weighted Precision (std),Weighted Precision (avg:std),Weighted Recall (avg),Weighted Recall (std),Weighted Recall (avg:std),Precision Pre-Void (avg),Precision Pre-Void (std),Precision Pre-Void (avg:std),Recall Pre-Void (avg),Recall Pre-Void (std),Recall Pre-Void (avg:std),F1-Score Pre-Void (avg),F1-Score Pre-Void (std),F1-Score Pre-Void (avg:std),Precision Void (avg),Precision Void (std),Precision Void (avg:std),Recall Void (avg),Recall Void (std),Recall Void (avg/std),F1-Score Void (avg),F1-Score Void (std),F1-Score Void (avg:std),Precision Post-Void (avg),Precision Post-Void (std),Precision Post-Void (avg:std),Recall Post-Void (avg),Recall Post-Void (std),Recall Post-Void (avg:std),F1-Score Post-Void (avg),F1-Score Post-Void (std),F1-Score Post-Void (avg:std)
3s_no,Decision Tree,0.6467,0.1011,6.39673,0.64118,0.10287,6.23273,0.65202,0.09602,6.7905,0.64507,0.10153,6.35368,0.64322,0.10295,6.24811,0.65406,0.0952,6.87066,0.6467,0.1011,6.39673,0.6346,0.12067,5.25917,0.60689,0.13508,4.49265,0.61268,0.108,5.67319,0.63501,0.10626,5.97607,0.64938,0.05336,12.16969,0.63678,0.0669,9.51862,0.68645,0.08836,7.76897,0.67893,0.19983,3.3976,0.67406,0.14719,4.57952
4s_no,Decision Tree,0.6444,0.0712,9.05078,0.63664,0.07463,8.5309,0.64844,0.07406,8.75598,0.63977,0.0756,8.46288,0.64012,0.07287,8.78442,0.64983,0.07429,8.74669,0.6444,0.0712,9.05078,0.6535,0.10493,6.2281,0.5787,0.09757,5.93086,0.60545,0.07501,8.07198,0.64092,0.07399,8.66247,0.63015,0.09239,6.82066,0.62749,0.05612,11.18112,0.65092,0.13063,4.98305,0.71048,0.18922,3.75477,0.67697,0.15822,4.27874
3s_0.5,Decision Tree,0.64158,0.0723,8.87403,0.63506,0.07706,8.24162,0.64553,0.08203,7.86932,0.63914,0.07755,8.24202,0.64258,0.0726,8.85041,0.65622,0.07801,8.41223,0.64158,0.0723,8.87403,0.58442,0.15536,3.76185,0.59853,0.14769,4.05252,0.58007,0.12636,4.59075,0.64825,0.06555,9.88942,0.61404,0.08051,7.62728,0.62846,0.06568,9.56835,0.70391,0.14226,4.94809,0.70485,0.08696,8.10558,0.69665,0.08619,8.08296
2s_0.8,Decision Tree,0.63946,0.04397,14.54259,0.63403,0.04259,14.88725,0.64344,0.04222,15.23876,0.64073,0.0403,15.89833,0.63666,0.04153,15.33002,0.6493,0.03694,17.578,0.63946,0.04397,14.54259,0.59908,0.1044,5.73852,0.6289,0.08451,7.44153,0.6037,0.06709,8.99844,0.64511,0.04061,15.8846,0.58586,0.10792,5.42886,0.60824,0.06283,9.68061,0.68614,0.04586,14.96011,0.70743,0.11563,6.11826,0.69014,0.0455,15.16722
5s_no,Decision Tree,0.63893,0.05191,12.30862,0.63661,0.05479,11.61952,0.63859,0.05887,10.84716,0.64282,0.05011,12.82729,0.63545,0.05295,12.00181,0.64023,0.05299,12.08272,0.63893,0.05191,12.30862,0.61499,0.10974,5.60417,0.59827,0.06095,9.8154,0.6039,0.07758,7.78388,0.63292,0.05952,10.63377,0.55939,0.0826,6.77196,0.59264,0.0683,8.67721,0.66787,0.04253,15.70328,0.77079,0.0766,10.06216,0.71329,0.04336,16.45013
2s_no,Decision Tree,0.63605,0.03488,18.23442,0.63754,0.03693,17.26554,0.64682,0.03337,19.38525,0.64326,0.03303,19.47296,0.63556,0.03514,18.08797,0.64871,0.02751,23.57727,0.63605,0.03488,18.23442,0.61818,0.10792,5.72789,0.65426,0.114,5.73905,0.62156,0.07203,8.62974,0.61575,0.03626,16.98178,0.60998,0.092,6.63004,0.60647,0.02978,20.36289,0.70651,0.03747,18.85613,0.66553,0.04534,14.68021,0.68459,0.03456,19.80839
4s_0.8,Decision Tree,0.62601,0.07897,7.92731,0.61431,0.07591,8.09264,0.62991,0.08342,7.55067,0.61994,0.07697,8.05431,0.62077,0.07838,7.91973,0.63435,0.08047,7.88315,0.62601,0.07897,7.92731,0.59957,0.12708,4.71792,0.53631,0.11051,4.85324,0.55062,0.06278,8.77117,0.62759,0.08232,7.62378,0.6023,0.10035,6.00194,0.60713,0.07139,8.50404,0.66256,0.09296,7.12752,0.72122,0.17738,4.06606,0.68517,0.11912,5.75207
4s_0.5,Decision Tree,0.61351,0.04528,13.54893,0.60715,0.05039,12.04888,0.62222,0.04932,12.61512,0.61873,0.04899,12.62878,0.60871,0.04809,12.6575,0.62968,0.04549,13.84311,0.61351,0.04528,13.54893,0.59123,0.09767,6.05367,0.63056,0.1328,4.74834,0.59219,0.06272,9.44178,0.62625,0.06294,9.94927,0.63745,0.15605,4.08502,0.61691,0.06962,8.8608,0.64919,0.09806,6.62016,0.58818,0.10991,5.35142,0.61234,0.08811,6.94942
5s_0.8,Decision Tree,0.61135,0.06605,9.25551,0.60161,0.06761,8.89818,0.61118,0.06182,9.88717,0.61368,0.07403,8.28947,0.60632,0.06465,9.37779,0.62166,0.06264,9.92428,0.61135,0.06605,9.25551,0.54906,0.11301,4.85849,0.59945,0.13913,4.30872,0.56253,0.094,5.98461,0.62283,0.06459,9.64283,0.55129,0.1144,4.81876,0.57918,0.08275,6.99877,0.66166,0.11216,5.89916,0.6903,0.16503,4.18276,0.66313,0.11,6.02857
5s_0.5,Decision Tree,0.5789,0.06562,8.82204,0.57755,0.06736,8.57457,0.5941,0.06887,8.62651,0.58749,0.07547,7.78464,0.57555,0.06649,8.65569,0.5972,0.0708,8.43465,0.5789,0.06562,8.82204,0.59142,0.17138,3.45086,0.57048,0.15012,3.80022,0.55967,0.10077,5.55375,0.57248,0.12008,4.7675,0.52807,0.1179,4.47885,0.538,0.08508,6.32371,0.6184,0.05272,11.7303,0.66391,0.13475,4.92707,0.63497,0.08296,7.65369
