Dataset,Model,Imbalance Technique,F1-Score (avg),F1-Score (std),F1-Score (avg:std),Recall (avg),Recall (std),Recall (avg:std),Accuracy (avg),Accuracy (std),Accuracy (avg:std),Macro F1 (avg),Macro F1 (std),Macro F1 (avg:std),Weighted F1 (avg),Weighted F1 (std),Weighted F1 (avg:std)
3s_0.5,Decision Tree,TomekLinks,0.59216,0.19184,3.08667,0.63467,0.24155,2.62754,0.65924,0.13555,4.86353,0.62302,0.14925,4.1745,0.66036,0.13822,4.77755
2s_0.5,Decision Tree,Baseline (none),0.5912,0.21192,2.78973,0.62988,0.24002,2.6243,0.67802,0.14154,4.79036,0.6417,0.14739,4.35381,0.67722,0.14746,4.59256
3s_0.5,Decision Tree,Baseline (none),0.59051,0.25252,2.33847,0.61822,0.28593,2.16216,0.68076,0.1685,4.04015,0.6431,0.18644,3.44938,0.67611,0.17773,3.80423
1s_0.8,Decision Tree,TomekLinks,0.58908,0.2387,2.46787,0.61331,0.26787,2.28958,0.68948,0.1316,5.23911,0.64718,0.15134,4.27635,0.68743,0.13756,4.9974
2s_0.5,Decision Tree,SMOTETomek,0.58895,0.18945,3.10873,0.62815,0.21844,2.87558,0.66991,0.13755,4.87046,0.6384,0.14002,4.55924,0.6716,0.14309,4.6937
5s_0.5,Decision Tree,TomekLinks,0.58879,0.2626,2.24215,0.62892,0.31968,1.96734,0.69413,0.13862,5.00741,0.64434,0.16014,4.02373,0.68943,0.15054,4.57974
1s_0.8,Random Forest,SMOTE,0.58852,0.30946,1.90174,0.5906,0.3466,1.70397,0.75263,0.11757,6.40132,0.67823,0.16826,4.03085,0.73465,0.13409,5.47881
1s_0.8,Decision Tree,SMOTE,0.58839,0.24378,2.41361,0.61056,0.26538,2.30072,0.69402,0.11651,5.95659,0.64807,0.14257,4.54553,0.69291,0.11965,5.79138
2s_0.8,Decision Tree,SMOTETomek,0.58757,0.22941,2.56124,0.60003,0.25158,2.38504,0.6926,0.13927,4.97313,0.65222,0.1479,4.40976,0.68773,0.15452,4.45079
4s_0.5,Decision Tree,SMOTE,0.58715,0.26352,2.22813,0.6227,0.29725,2.09486,0.68943,0.15416,4.47228,0.64038,0.17729,3.61214,0.68636,0.16661,4.11951
2s_0.8,Decision Tree,Baseline (none),0.58518,0.2521,2.32121,0.61785,0.27906,2.214,0.68167,0.15648,4.35641,0.63882,0.16985,3.761,0.67754,0.16481,4.11105
3s_no,Decision Tree,SMOTETomek,0.58516,0.28018,2.08854,0.62416,0.31717,1.96791,0.68369,0.16004,4.27204,0.63918,0.18313,3.49037,0.67852,0.16554,4.09892
3s_no,Decision Tree,SMOTE,0.58503,0.24549,2.38317,0.64838,0.30526,2.12402,0.66962,0.14428,4.64119,0.63979,0.16553,3.86511,0.66531,0.15811,4.20792
1s_0.8,Random Forest,SMOTETomek,0.58307,0.31342,1.86037,0.5896,0.35237,1.67325,0.74783,0.12816,5.83507,0.67428,0.17416,3.87154,0.7291,0.14373,5.07281
1s_0.8,Random Forest,TomekLinks,0.58202,0.31174,1.86701,0.57832,0.35895,1.61114,0.75301,0.12764,5.89936,0.67769,0.17538,3.86418,0.73368,0.14488,5.064
1s_0.5,Decision Tree,SMOTE,0.58032,0.25457,2.2796,0.61633,0.28801,2.13998,0.68875,0.14119,4.87823,0.64609,0.16375,3.9456,0.68375,0.15425,4.43277
1s_0.5,Decision Tree,Baseline (none),0.5803,0.25498,2.27589,0.5913,0.27828,2.12484,0.70412,0.12781,5.50906,0.65073,0.15311,4.25007,0.69675,0.13717,5.07947
1s_0.8,Decision Tree,SMOTETomek,0.57884,0.24254,2.38659,0.61081,0.27077,2.25582,0.6849,0.12274,5.58015,0.64137,0.14525,4.41573,0.68118,0.13586,5.01393
1s_0.8,Decision Tree,Baseline (none),0.57812,0.23134,2.49897,0.57584,0.25618,2.24776,0.69226,0.13311,5.20063,0.64725,0.15046,4.3018,0.68844,0.14054,4.89856
2s_no,Decision Tree,SMOTETomek,0.57688,0.27258,2.11637,0.59286,0.2982,1.98814,0.70173,0.14169,4.95274,0.65273,0.16947,3.85148,0.69638,0.1533,4.54248
5s_no,Decision Tree,TomekLinks,0.5763,0.23166,2.48765,0.66518,0.31072,2.14074,0.64349,0.16119,3.99207,0.60116,0.17361,3.46262,0.6441,0.16204,3.975
5s_no,Decision Tree,SMOTE,0.57523,0.27303,2.10685,0.64665,0.34135,1.89439,0.66912,0.18438,3.62903,0.62763,0.20591,3.04807,0.66148,0.19729,3.35282
4s_no,Decision Tree,SMOTETomek,0.57486,0.25735,2.23378,0.63049,0.31635,1.99302,0.67586,0.15174,4.45395,0.63152,0.17613,3.58543,0.67445,0.15194,4.43882
1s_0.8,Random Forest,Baseline (none),0.57474,0.32244,1.78247,0.57219,0.36414,1.57133,0.75497,0.12651,5.96744,0.67528,0.17843,3.78457,0.73196,0.15043,4.86588
1s_0.5,Decision Tree,TomekLinks,0.57441,0.23925,2.40092,0.59347,0.27535,2.15536,0.69327,0.12228,5.6695,0.64619,0.14435,4.47673,0.68932,0.12809,5.38149
5s_no,Decision Tree,SMOTETomek,0.56917,0.27475,2.07163,0.63594,0.33266,1.91166,0.67213,0.16054,4.18682,0.62419,0.18676,3.34213,0.66779,0.1757,3.80075
1s_no,Decision Tree,SMOTE,0.56817,0.2262,2.51184,0.58516,0.26189,2.23442,0.67854,0.13094,5.18203,0.63272,0.14667,4.31392,0.67335,0.14211,4.7381
3s_0.8,Decision Tree,SMOTETomek,0.5644,0.25177,2.24169,0.56184,0.26984,2.08209,0.67902,0.15634,4.34319,0.63295,0.17221,3.67535,0.67572,0.16223,4.16529
1s_0.5,Decision Tree,SMOTETomek,0.56119,0.24843,2.25896,0.57372,0.27945,2.05305,0.68723,0.14562,4.71931,0.63925,0.16277,3.92743,0.67854,0.16073,4.22169
5s_0.5,Decision Tree,SMOTE,0.55872,0.25457,2.19475,0.59022,0.32496,1.81629,0.6679,0.17303,3.86,0.62197,0.1812,3.43248,0.6573,0.18802,3.49589
3s_0.8,Decision Tree,Baseline (none),0.55759,0.25745,2.1658,0.57489,0.28304,2.03111,0.66736,0.14135,4.72134,0.62275,0.1617,3.85128,0.6655,0.14044,4.73867
3s_0.8,Decision Tree,SMOTE,0.55579,0.24414,2.27658,0.57297,0.27012,2.12118,0.65441,0.16996,3.85035,0.61824,0.17817,3.4699,0.64905,0.18509,3.50673
5s_0.8,Decision Tree,TomekLinks,0.55257,0.24796,2.22845,0.57325,0.29544,1.94037,0.6441,0.1625,3.96376,0.59537,0.1666,3.57373,0.63779,0.17247,3.69805
