Dataset,Model,Imbalance Technique,F1-Score (avg),F1-Score (std),F1-Score (avg:std),Recall (avg),Recall (std),Recall (avg:std),Accuracy (avg),Accuracy (std),Accuracy (avg:std),Macro F1 (avg),Macro F1 (std),Macro F1 (avg:std),Weighted F1 (avg),Weighted F1 (std),Weighted F1 (avg:std)
3s_no,Random Forest,TomekLinks,0.71473,0.10004,7.14463,0.73397,0.1632,4.49742,0.76136,0.08915,8.54044,0.75142,0.08774,8.56419,0.75974,0.09133,8.31895
4s_0.8,Random Forest,TomekLinks,0.71426,0.09339,7.64851,0.67889,0.14562,4.66215,0.77214,0.07552,10.22462,0.75962,0.07552,10.05839,0.76782,0.0786,9.76833
3s_no,Random Forest,Baseline (none),0.71389,0.08772,8.13835,0.71579,0.1635,4.37778,0.76643,0.07981,9.60372,0.75564,0.07732,9.77349,0.76366,0.08337,9.16004
4s_0.8,XGBoost,TomekLinks,0.71387,0.11294,6.3206,0.69629,0.14781,4.71066,0.7653,0.08753,8.7438,0.75448,0.09022,8.36294,0.76255,0.08972,8.49892
4s_0.5,XGBoost,TomekLinks,0.71345,0.13335,5.35036,0.72891,0.161,4.52729,0.76465,0.09867,7.74925,0.75366,0.10468,7.19936,0.76476,0.09932,7.70015
3s_no,Random Forest,SMOTE,0.71253,0.07195,9.90278,0.71888,0.12776,5.62677,0.76044,0.07367,10.32288,0.75128,0.07063,10.63695,0.75991,0.0745,10.20017
4s_0.8,XGBoost,Baseline (none),0.71006,0.12088,5.87426,0.69369,0.16097,4.30936,0.76404,0.08968,8.51958,0.75244,0.09444,7.96744,0.76109,0.09222,8.25323
5s_0.8,XGBoost,SMOTE,0.70964,0.08882,7.98927,0.69143,0.12144,5.69371,0.75357,0.07554,9.97563,0.74476,0.07589,9.81431,0.75162,0.07775,9.66662
5s_no,Random Forest,TomekLinks,0.7096,0.13687,5.18462,0.76393,0.18834,4.05619,0.74671,0.1138,6.56161,0.74018,0.11574,6.39516,0.74556,0.11544,6.45816
4s_no,XGBoost,TomekLinks,0.70958,0.13555,5.23469,0.73201,0.19119,3.82866,0.769,0.09164,8.39191,0.75463,0.10012,7.53756,0.76758,0.09565,8.02471
5s_no,XGBoost,Baseline (none),0.70919,0.17562,4.03819,0.70732,0.24528,2.88369,0.78311,0.09625,8.136,0.7644,0.11757,6.50143,0.77497,0.1085,7.14253
4s_0.8,XGBoost,SMOTE,0.70886,0.1187,5.97209,0.70281,0.15664,4.48669,0.75771,0.09377,8.08087,0.74716,0.09673,7.72395,0.75558,0.09487,7.96472
2s_no,XGBoost,SMOTE,0.70838,0.12079,5.86474,0.71227,0.16178,4.40277,0.77215,0.07838,9.85079,0.75771,0.08761,8.64841,0.77027,0.08137,9.46581
1s_no,XGBoost,SMOTE,0.70814,0.09909,7.14666,0.70096,0.13962,5.02063,0.76986,0.07443,10.34403,0.75653,0.07819,9.67601,0.76737,0.07681,9.99084
5s_0.5,Random Forest,SMOTETomek,0.70809,0.14486,4.88824,0.70865,0.19907,3.55986,0.76993,0.10873,7.0813,0.75655,0.1141,6.63031,0.7665,0.11527,6.64964
3s_0.5,XGBoost,SMOTE,0.70798,0.16696,4.24041,0.71601,0.19756,3.62423,0.76655,0.11928,6.42653,0.75463,0.12831,5.88136,0.76277,0.13157,5.79766
4s_no,XGBoost,Baseline (none),0.7079,0.15827,4.47286,0.71909,0.20482,3.51075,0.76964,0.11429,6.73435,0.75439,0.12273,6.14699,0.76622,0.12169,6.29652
4s_0.8,Random Forest,SMOTE,0.70722,0.09589,7.37518,0.66943,0.14487,4.621,0.76584,0.08216,9.32181,0.75287,0.08056,9.34596,0.76138,0.08383,9.08235
2s_0.5,XGBoost,SMOTE,0.70702,0.11207,6.30887,0.70601,0.15071,4.68467,0.76632,0.08662,8.84719,0.75433,0.09088,8.3005,0.7649,0.08851,8.642
4s_0.8,Random Forest,SMOTETomek,0.70664,0.10584,6.67621,0.67542,0.15239,4.43228,0.76575,0.08093,9.46147,0.75332,0.08332,9.04141,0.76155,0.08485,8.97523
3s_0.5,XGBoost,Baseline (none),0.70618,0.17087,4.13291,0.70928,0.19823,3.57807,0.76585,0.12199,6.27799,0.75365,0.1314,5.73557,0.76153,0.13554,5.61844
3s_0.5,XGBoost,SMOTETomek,0.70602,0.17564,4.01977,0.72237,0.20907,3.45507,0.76299,0.12639,6.03701,0.75146,0.13555,5.54378,0.75921,0.13887,5.46685
5s_0.8,Random Forest,SMOTE,0.70539,0.10374,6.79949,0.67811,0.16129,4.20421,0.75715,0.08343,9.07565,0.74703,0.08542,8.74555,0.75238,0.09073,8.29253
3s_0.5,XGBoost,TomekLinks,0.70531,0.17433,4.04584,0.72274,0.20987,3.44365,0.76227,0.12502,6.09707,0.7512,0.13444,5.58766,0.75863,0.13788,5.50218
3s_0.5,Random Forest,Baseline (none),0.70438,0.18798,3.74711,0.68782,0.20966,3.28064,0.76888,0.1415,5.43369,0.75575,0.14965,5.05022,0.76281,0.15701,4.85824
3s_0.5,Random Forest,TomekLinks,0.70285,0.189,3.71881,0.71605,0.22259,3.2169,0.7604,0.13541,5.61538,0.74911,0.14574,5.14016,0.75401,0.15471,4.87368
2s_no,Random Forest,Baseline (none),0.70258,0.10895,6.44862,0.6791,0.15262,4.44948,0.77355,0.08407,9.20075,0.75739,0.08761,8.64474,0.77044,0.0859,8.96938
4s_no,Random Forest,SMOTE,0.70215,0.15761,4.45485,0.73634,0.18206,4.04446,0.75338,0.12556,6.0001,0.74113,0.13012,5.69571,0.75442,0.12502,6.0342
3s_0.8,XGBoost,TomekLinks,0.70188,0.11,6.38066,0.69315,0.16374,4.2332,0.76334,0.06873,11.1059,0.74761,0.07531,9.92723,0.76043,0.07115,10.68811
4s_0.5,Random Forest,SMOTETomek,0.7017,0.14875,4.71742,0.70351,0.20009,3.51602,0.76736,0.09568,8.02026,0.74986,0.10699,7.00899,0.76343,0.10095,7.56239
1s_no,Random Forest,TomekLinks,0.70065,0.10616,6.60011,0.66667,0.15938,4.18302,0.77638,0.0735,10.5628,0.7587,0.07873,9.63648,0.7711,0.07765,9.93013
4s_0.8,Random Forest,Baseline (none),0.70051,0.09365,7.47976,0.66831,0.14438,4.62893,0.761,0.07168,10.61654,0.74803,0.07283,10.27078,0.75672,0.07492,10.10048
4s_0.5,Random Forest,TomekLinks,0.70029,0.14443,4.84882,0.70943,0.18874,3.75881,0.76126,0.09686,7.85923,0.74611,0.10645,7.0093,0.75975,0.09927,7.65318
1s_no,XGBoost,SMOTETomek,0.70009,0.09497,7.37176,0.6886,0.13868,4.96523,0.76478,0.0744,10.27905,0.75114,0.07647,9.82204,0.76199,0.07719,9.8718
2s_0.5,Random Forest,SMOTETomek,0.6998,0.11058,6.3283,0.68295,0.16878,4.04637,0.76884,0.07806,9.84973,0.75365,0.08343,9.03373,0.76398,0.08566,8.91838
5s_0.5,Random Forest,SMOTE,0.69829,0.09645,7.2402,0.71156,0.161,4.4196,0.75286,0.07583,9.92879,0.74162,0.0767,9.66922,0.75125,0.07926,9.47791
2s_0.8,XGBoost,SMOTE,0.69805,0.12253,5.69686,0.69308,0.17033,4.06899,0.76046,0.07816,9.72978,0.74435,0.08674,8.58099,0.75678,0.08142,9.29457
3s_0.8,Random Forest,TomekLinks,0.69782,0.11896,5.86599,0.66489,0.18072,3.67904,0.7706,0.08178,9.42327,0.75136,0.08515,8.82401,0.76512,0.08477,9.02629
2s_0.5,XGBoost,SMOTETomek,0.69687,0.1234,5.64722,0.7008,0.16288,4.30265,0.75749,0.09725,7.7891,0.74588,0.10115,7.37378,0.7559,0.10058,7.51548
4s_0.5,Random Forest,SMOTE,0.69554,0.13969,4.97903,0.69247,0.19434,3.56312,0.76124,0.10041,7.58153,0.74388,0.10719,6.93968,0.75767,0.10373,7.30448
4s_0.5,XGBoost,Baseline (none),0.69492,0.12002,5.79004,0.6825,0.1401,4.87134,0.75687,0.089,8.50395,0.74348,0.09398,7.91093,0.7556,0.09105,8.29865
5s_0.8,Random Forest,SMOTETomek,0.69452,0.13127,5.29058,0.67417,0.18952,3.55726,0.75225,0.09146,8.22515,0.73969,0.09858,7.50358,0.7447,0.10543,7.06338
2s_0.8,Random Forest,Baseline (none),0.69444,0.1039,6.68408,0.63778,0.14928,4.2724,0.77386,0.07432,10.4132,0.75348,0.07664,9.83182,0.76723,0.07624,10.06388
