exp_id,three_class_label,two_class_label,two_class_pred,two_class_pred_num,two_class_pred_prob,three_class_pred
26,post-void,void,void,1,0.5065923,void
26,post-void,void,non-void,0,0.26016185,void
26,post-void,void,non-void,0,0.06397863,void
26,post-void,void,non-void,0,0.014636576,void
26,post-void,void,non-void,0,0.16042718,void
26,post-void,void,non-void,0,0.20530525,void
26,post-void,void,non-void,0,0.31681442,void
26,post-void,non-void,non-void,0,0.3670537,void
26,post-void,non-void,void,1,0.5371113,void
26,post-void,non-void,non-void,0,0.4833709,void
26,post-void,non-void,void,1,0.60427463,void
26,post-void,non-void,void,1,0.77537066,void
26,post-void,non-void,void,1,0.72302365,void
26,post-void,non-void,non-void,0,0.4695625,void
26,post-void,non-void,void,1,0.52282625,void
26,post-void,non-void,non-void,0,0.16533238,post-void
26,post-void,non-void,non-void,0,0.044364974,post-void
26,post-void,non-void,non-void,0,0.006384037,post-void
26,post-void,non-void,non-void,0,0.014289764,post-void
26,post-void,non-void,non-void,0,0.03151283,post-void
26,post-void,non-void,non-void,0,0.009816461,post-void
26,post-void,non-void,non-void,0,0.029895226,post-void
26,pre-void,non-void,non-void,0,0.21331798,post-void
26,pre-void,non-void,non-void,0,0.090879,post-void
26,pre-void,non-void,non-void,0,0.05764908,post-void
26,pre-void,non-void,non-void,0,0.011425844,post-void
26,pre-void,non-void,non-void,0,0.009443683,post-void
26,pre-void,non-void,non-void,0,0.030052433,post-void
26,pre-void,non-void,non-void,0,0.020074883,post-void
26,pre-void,non-void,non-void,0,0.00375065,post-void
26,pre-void,non-void,non-void,0,0.13250998,post-void
26,pre-void,non-void,non-void,0,0.06326913,post-void
26,pre-void,non-void,non-void,0,0.27607405,post-void
26,pre-void,non-void,non-void,0,0.040711034,post-void
26,pre-void,non-void,non-void,0,0.012071975,post-void
26,pre-void,non-void,non-void,0,0.016069932,post-void
26,pre-void,non-void,non-void,0,0.0027172987,post-void
26,pre-void,non-void,non-void,0,0.050936222,post-void
26,pre-void,non-void,non-void,0,0.019530846,post-void
26,pre-void,non-void,non-void,0,0.008508003,post-void
26,pre-void,non-void,non-void,0,0.0048844228,post-void
26,pre-void,non-void,non-void,0,0.011150106,post-void
30,post-void,non-void,void,1,0.66290885,pre-void
30,post-void,non-void,non-void,0,0.38064954,pre-void
30,post-void,non-void,non-void,0,0.3609511,pre-void
30,post-void,non-void,non-void,0,0.36358717,pre-void
30,post-void,non-void,non-void,0,0.36551625,pre-void
30,post-void,non-void,void,1,0.5326849,pre-void
30,post-void,non-void,non-void,0,0.41611657,pre-void
30,post-void,non-void,non-void,0,0.46790254,pre-void
30,post-void,void,non-void,0,0.46741524,pre-void
30,post-void,void,non-void,0,0.39679566,pre-void
30,post-void,void,void,1,0.62779987,pre-void
30,post-void,void,non-void,0,0.26007283,pre-void
30,post-void,void,non-void,0,0.08105457,pre-void
30,pre-void,void,void,1,0.6287579,pre-void
30,pre-void,void,non-void,0,0.14579506,pre-void
30,pre-void,void,void,1,0.54564,pre-void
30,pre-void,void,non-void,0,0.3823087,pre-void
30,pre-void,void,non-void,0,0.41687733,pre-void
30,pre-void,void,non-void,0,0.3167037,pre-void
30,pre-void,void,non-void,0,0.37663218,pre-void
30,void,void,void,1,0.76938444,pre-void
30,void,void,non-void,0,0.4475473,pre-void
30,void,void,non-void,0,0.23783614,pre-void
30,void,void,non-void,0,0.34997007,pre-void
30,void,void,non-void,0,0.31314927,pre-void
30,void,void,non-void,0,0.30783635,pre-void
30,void,void,non-void,0,0.4111172,pre-void
30,void,void,non-void,0,0.2861392,pre-void
30,void,void,non-void,0,0.13603058,pre-void
30,void,void,non-void,0,0.18117881,pre-void
30,void,void,non-void,0,0.024928724,pre-void
30,void,void,non-void,0,0.02565471,pre-void
30,void,void,non-void,0,0.013442392,pre-void
30,void,void,non-void,0,0.19397292,pre-void
30,void,void,non-void,0,0.082335964,pre-void
30,void,void,non-void,0,0.22394755,pre-void
30,void,void,non-void,0,0.14985818,pre-void
30,void,void,non-void,0,0.3110335,pre-void
30,void,void,non-void,0,0.18300746,pre-void
30,void,void,non-void,0,0.45052683,pre-void
30,void,void,non-void,0,0.4148854,pre-void
30,void,void,non-void,0,0.24099913,pre-void
30,void,void,non-void,0,0.28043684,pre-void
30,void,void,void,1,0.64777505,pre-void
30,void,void,non-void,0,0.49595955,pre-void
30,void,void,non-void,0,0.1836578,pre-void
40,void,non-void,non-void,0,0.02515382,pre-void
40,void,non-void,non-void,0,0.3518599,pre-void
40,void,non-void,non-void,0,0.04402129,pre-void
40,void,non-void,non-void,0,0.03138834,pre-void
40,void,non-void,non-void,0,0.040514298,pre-void
40,post-void,non-void,non-void,0,0.020209944,pre-void
40,post-void,non-void,non-void,0,0.020298164,pre-void
40,post-void,non-void,non-void,0,0.049298268,pre-void
40,post-void,non-void,non-void,0,0.083785385,void
40,post-void,non-void,void,1,0.6629937,void
40,post-void,non-void,void,1,0.7100232,void
40,post-void,non-void,void,1,0.7088073,void
40,post-void,non-void,void,1,0.71243924,void
40,post-void,non-void,non-void,0,0.036079183,void
40,post-void,non-void,non-void,0,0.261606,void
40,post-void,non-void,non-void,0,0.40402654,void
40,post-void,non-void,void,1,0.58849514,void
40,post-void,non-void,void,1,0.70919704,void
40,post-void,non-void,non-void,0,0.2406596,void
40,post-void,non-void,non-void,0,0.26671365,void
40,post-void,non-void,non-void,0,0.30119398,void
40,post-void,non-void,non-void,0,0.43380636,void
40,post-void,non-void,non-void,0,0.28326374,void
40,post-void,non-void,non-void,0,0.41404983,void
40,post-void,non-void,non-void,0,0.43860745,void
40,post-void,non-void,void,1,0.71137196,void
40,post-void,non-void,non-void,0,0.47255024,void
40,post-void,non-void,void,1,0.5090114,void
40,post-void,non-void,void,1,0.5188431,void
40,post-void,non-void,void,1,0.8683208,void
40,post-void,non-void,void,1,0.5404909,void
40,post-void,void,void,1,0.8678851,void
40,post-void,void,void,1,0.5138506,void
40,post-void,void,void,1,0.6572351,void
40,post-void,void,non-void,0,0.48822126,void
40,post-void,void,non-void,0,0.33912203,void
40,post-void,void,void,1,0.90914047,void
40,post-void,void,void,1,0.9085889,void
40,post-void,void,void,1,0.88607156,void
40,post-void,void,void,1,0.9466315,void
40,post-void,void,void,1,0.95283526,void
40,post-void,void,void,1,0.86393887,void
40,post-void,void,void,1,0.7129779,void
40,post-void,void,void,1,0.9314168,void
40,post-void,void,void,1,0.6313855,void
40,post-void,void,non-void,0,0.38692734,void
40,post-void,void,non-void,0,0.32808158,void
40,post-void,void,non-void,0,0.36395717,void
40,post-void,void,non-void,0,0.46064264,void
40,post-void,void,void,1,0.5861431,void
40,post-void,void,non-void,0,0.22165737,void
40,post-void,void,non-void,0,0.21336748,void
40,post-void,void,non-void,0,0.38519496,void
40,post-void,non-void,non-void,0,0.2292856,void
40,post-void,non-void,non-void,0,0.3159412,void
40,post-void,non-void,non-void,0,0.31448546,void
40,post-void,non-void,non-void,0,0.09298601,void
40,post-void,non-void,void,1,0.5619685,void
40,post-void,non-void,non-void,0,0.047665086,void
40,post-void,non-void,non-void,0,0.007918413,void
40,pre-void,non-void,non-void,0,0.0038740013,void
40,pre-void,non-void,non-void,0,0.007319986,void
40,pre-void,non-void,non-void,0,0.017299,void
40,void,non-void,non-void,0,0.1224786,void
40,void,non-void,non-void,0,0.15701668,void
40,void,non-void,void,1,0.771613,void
40,void,non-void,non-void,0,0.44513372,void
40,void,non-void,void,1,0.5603921,void
40,void,non-void,non-void,0,0.06348368,void
40,void,non-void,non-void,0,0.22542585,void
40,void,non-void,non-void,0,0.19129452,void
40,void,non-void,void,1,0.5131886,void
40,void,non-void,void,1,0.71272695,void
40,void,non-void,non-void,0,0.3759758,void
40,void,non-void,non-void,0,0.49797052,void
40,void,non-void,non-void,0,0.10439955,void
40,void,non-void,non-void,0,0.06998727,post-void
40,void,non-void,non-void,0,0.012945132,post-void
40,void,non-void,non-void,0,0.056494355,post-void
40,void,non-void,non-void,0,0.27849728,post-void
40,void,non-void,non-void,0,0.059509598,post-void
40,void,non-void,non-void,0,0.003364773,post-void
40,void,non-void,non-void,0,0.028675532,post-void
40,void,non-void,void,1,0.84558713,post-void
40,void,non-void,non-void,0,0.15548551,post-void
40,void,non-void,non-void,0,0.23585798,post-void
40,void,non-void,non-void,0,0.18255052,post-void
40,void,non-void,non-void,0,0.042883236,post-void
40,void,non-void,non-void,0,0.0359942,post-void
40,void,non-void,non-void,0,0.29915106,post-void
40,void,non-void,non-void,0,0.07499744,post-void
40,void,non-void,non-void,0,0.071915336,post-void
40,void,non-void,non-void,0,0.021537093,post-void
40,void,non-void,non-void,0,0.0072691482,post-void
40,void,non-void,non-void,0,0.0008112059,post-void
40,void,non-void,non-void,0,0.001994274,post-void
40,void,non-void,non-void,0,0.0014203577,post-void
40,void,non-void,non-void,0,0.0037171782,post-void
40,void,non-void,non-void,0,0.0014795905,post-void
40,void,non-void,non-void,0,0.0015042538,post-void
40,void,non-void,non-void,0,0.0038977265,post-void
40,void,non-void,non-void,0,0.19074586,post-void
40,void,non-void,non-void,0,0.2751336,post-void
40,void,non-void,non-void,0,0.020914365,post-void
40,void,non-void,non-void,0,0.00743922,post-void
40,void,non-void,non-void,0,0.051772863,post-void
40,void,non-void,non-void,0,0.161949,post-void
40,void,non-void,non-void,0,0.012127771,post-void
40,void,non-void,non-void,0,0.20763277,post-void
40,void,non-void,non-void,0,0.069486134,post-void
40,void,non-void,non-void,0,0.047899757,post-void
40,void,non-void,non-void,0,0.041607026,post-void
40,void,non-void,non-void,0,0.0071453997,post-void
40,void,non-void,non-void,0,0.1397223,post-void
40,void,non-void,non-void,0,0.026861072,post-void
40,void,non-void,non-void,0,0.15988258,post-void
40,void,non-void,non-void,0,0.3170149,post-void
40,void,non-void,non-void,0,0.34651434,post-void
40,void,non-void,non-void,0,0.14947765,post-void
40,void,non-void,non-void,0,0.015929338,post-void
40,void,non-void,non-void,0,0.012049362,post-void
40,void,non-void,non-void,0,0.037962973,post-void
40,void,non-void,void,1,0.6014035,post-void
40,void,non-void,non-void,0,0.04109928,post-void
40,void,non-void,non-void,0,0.0035866739,post-void
40,void,non-void,non-void,0,0.002175759,post-void
40,void,non-void,non-void,0,0.0018244288,post-void
40,post-void,non-void,non-void,0,0.0028625652,post-void
40,post-void,non-void,non-void,0,0.0018997806,post-void
40,post-void,non-void,non-void,0,0.021965822,post-void
40,post-void,non-void,non-void,0,0.13601017,post-void
40,post-void,non-void,non-void,0,0.019179925,post-void
40,post-void,non-void,non-void,0,0.0065441085,post-void
40,post-void,non-void,void,1,0.5131729,post-void
40,post-void,non-void,non-void,0,0.08180282,post-void
40,pre-void,non-void,non-void,0,0.018828578,post-void
40,pre-void,non-void,non-void,0,0.005929416,post-void
40,pre-void,non-void,non-void,0,0.005203547,post-void
40,pre-void,non-void,non-void,0,0.012541973,post-void
40,pre-void,non-void,non-void,0,0.013157343,post-void
40,pre-void,non-void,non-void,0,0.021168523,post-void
40,pre-void,non-void,non-void,0,0.02401439,post-void
40,pre-void,non-void,non-void,0,0.022668032,post-void
40,pre-void,non-void,non-void,0,0.0040186727,post-void
40,pre-void,non-void,non-void,0,0.031131664,post-void
40,pre-void,non-void,non-void,0,0.018278973,post-void
40,pre-void,non-void,non-void,0,0.016953753,post-void
40,pre-void,non-void,non-void,0,0.0060609397,post-void
40,pre-void,non-void,non-void,0,0.21909419,post-void
40,void,non-void,non-void,0,0.012947265,post-void
40,void,non-void,non-void,0,0.07846677,post-void
40,void,non-void,non-void,0,0.01474972,post-void
40,void,non-void,non-void,0,0.06875278,post-void
40,void,non-void,non-void,0,0.00937641,post-void
40,void,non-void,non-void,0,0.003011175,post-void
40,void,non-void,non-void,0,0.038842496,post-void
40,void,non-void,non-void,0,0.025649898,post-void
40,void,non-void,non-void,0,0.040779226,post-void
40,void,non-void,non-void,0,0.014529999,post-void
40,void,non-void,non-void,0,0.26749676,post-void
40,void,non-void,non-void,0,0.11185579,post-void
40,void,non-void,non-void,0,0.074762456,post-void
40,void,non-void,non-void,0,0.15073578,post-void
40,void,non-void,non-void,0,0.13833742,post-void
40,void,non-void,non-void,0,0.1401272,post-void
40,void,non-void,non-void,0,0.16373911,post-void
40,void,non-void,non-void,0,0.36162168,post-void
40,void,non-void,non-void,0,0.17795146,post-void
40,void,non-void,non-void,0,0.044980276,post-void
40,void,non-void,non-void,0,0.0827427,post-void
40,void,non-void,non-void,0,0.015161591,post-void
40,void,non-void,non-void,0,0.03097701,post-void
40,void,non-void,non-void,0,0.04461684,post-void
40,void,non-void,non-void,0,0.071809605,post-void
40,void,non-void,non-void,0,0.19675341,post-void
40,void,non-void,non-void,0,0.28135443,post-void
40,void,non-void,void,1,0.5704199,post-void
40,void,non-void,non-void,0,0.11501535,post-void
40,void,non-void,non-void,0,0.030743748,post-void
40,void,non-void,non-void,0,0.0027568343,post-void
40,void,non-void,non-void,0,0.00063285005,post-void
40,void,non-void,non-void,0,0.0015522159,post-void
40,void,non-void,non-void,0,0.0024533886,post-void
40,void,non-void,non-void,0,0.0047234395,post-void
40,void,non-void,non-void,0,0.0027317097,post-void
40,void,non-void,non-void,0,0.0027317097,post-void
