Dataset,Model,Imbalance Technique,F1-Score (avg),F1-Score (std),F1-Score (avg:std),Recall (avg),Recall (std),Recall (avg:std),Accuracy (avg),Accuracy (std),Accuracy (avg:std),Macro F1 (avg),Macro F1 (std),Macro F1 (avg:std),Weighted F1 (avg),Weighted F1 (std),Weighted F1 (avg:std)
4s_0.8,XGBoost,TomekLinks,0.618,0.1277,4.83955,0.62643,0.19058,3.28696,0.69391,0.12427,5.584,0.67424,0.11366,5.93223,0.69031,0.13176,5.23917
4s_0.8,XGBoost,SMOTETomek,0.61102,0.10242,5.96599,0.62252,0.16681,3.73194,0.68082,0.12027,5.66101,0.66327,0.10536,6.29553,0.67933,0.12378,5.48842
5s_no,XGBoost,Baseline (none),0.59397,0.14081,4.21831,0.59262,0.22621,2.61972,0.696,0.11989,5.80519,0.67108,0.11634,5.76818,0.69001,0.13011,5.30325
5s_no,XGBoost,SMOTE,0.61417,0.11198,5.48484,0.64593,0.19752,3.27018,0.69028,0.10763,6.41322,0.67098,0.10021,6.69545,0.68953,0.11389,6.05447
5s_no,XGBoost,TomekLinks,0.66545,0.09807,6.78526,0.72805,0.18696,3.89421,0.71689,0.10044,7.13721,0.70469,0.09276,7.59662,0.71932,0.10385,6.9263
5s_no,XGBoost,SMOTETomek,0.60192,0.10113,5.95175,0.64097,0.19655,3.26106,0.676,0.10579,6.39009,0.65839,0.09506,6.92614,0.67529,0.11242,6.00687
5s_0.5,XGBoost,Baseline (none),0.63164,0.12793,4.93749,0.62468,0.18347,3.40473,0.71284,0.1298,5.49179,0.69344,0.11938,5.80883,0.70908,0.13875,5.11058
5s_0.5,XGBoost,SMOTE,0.62354,0.11654,5.35029,0.63632,0.17402,3.65664,0.69132,0.13191,5.24075,0.67602,0.1191,5.67601,0.68994,0.13839,4.9856
5s_0.5,XGBoost,TomekLinks,0.63402,0.10371,6.11355,0.6552,0.16822,3.89479,0.70236,0.11534,6.08962,0.68557,0.10283,6.66715,0.70291,0.11999,5.85805
5s_0.5,XGBoost,SMOTETomek,0.63321,0.11632,5.44364,0.64635,0.16871,3.83109,0.70467,0.12417,5.67494,0.68739,0.11266,6.10163,0.70453,0.12955,5.43827
5s_0.8,XGBoost,Baseline (none),0.6118,0.11703,5.2276,0.59551,0.17179,3.46656,0.68684,0.12984,5.28969,0.66801,0.11764,5.67861,0.68366,0.13317,5.13381
5s_0.8,XGBoost,SMOTE,0.62476,0.11708,5.33636,0.63282,0.17686,3.57816,0.68203,0.13969,4.88246,0.66622,0.1288,5.1724,0.68217,0.14032,4.86162
5s_0.8,XGBoost,TomekLinks,0.63092,0.1279,4.93309,0.62563,0.19045,3.28507,0.69592,0.14003,4.96988,0.67889,0.12915,5.25658,0.69358,0.14283,4.85592
5s_0.8,XGBoost,SMOTETomek,0.63459,0.09616,6.59938,0.64158,0.1523,4.21254,0.68829,0.1254,5.48872,0.67422,0.11348,5.94105,0.68885,0.1256,5.48471
